,experiment_id,mean_jitter,std_jitter,mean_latency,std_latency,mean_throughput,std_throughput,index,error_rate,std_error_rate,topology,num_robots,msg_limit,migration_frequency,robot_speed,group_count,mean_jitter_scaled,mean_latency_scaled,mean_throughput_scaled,error_rate_scaled,QoS_c,QoS_s
217,2507250833,9.20765840076214,1.4282292945208463,15.084450271950272,6.814979845851,0.41971311475409834,1.1824187970984845,217.0,0.0,0.0,Comm Aware,8,Unlimited,None,Brownian,1708,0.1251245496650843,0.0736472247463,0.4410676107732946,0.0,0.8760020112879083,0.8583977559929512
218,2507250835,11.057713685231985,2.4054713489703072,15.754811507936507,4.55059786709095,0.41381875,1.1898433969294862,218.0,0.0,0.0,Comm Aware,8,Unlimited,None,Brownian,1600,0.15746107427831646,0.07952774212391023,0.4327044662013466,0.0,0.8641413069886005,0.8509925707799353
219,2507250837,10.227088607780056,1.5059492419101195,16.33462024087024,5.2915331432173875,0.4190759270158917,1.2021958828074697,219.0,0.0,0.0,Comm Aware,8,Unlimited,None,Brownian,1699,0.14294284420872744,0.08461391827293949,0.44016354504332944,0.0,0.8659736843156813,0.8538991946364158
220,2507250839,12.186262199674307,2.1827440629653183,17.44241291116291,6.915282168797552,0.40619890176937157,1.1806889452020621,220.0,0.0,0.0,Comm Aware,8,Unlimited,None,Brownian,1639,0.1771866128180733,0.09433165506728336,0.42189314131264866,0.0,0.8507268333931048,0.8436508880797262
221,2507250841,10.482971737031779,2.34994207285957,15.57126392126392,6.07366789496943,0.410445937690898,1.1857819509706884,221.0,0.0,0.0,Comm Aware,8,Unlimited,None,Brownian,1637,0.14741534358570163,0.07791763295424944,0.4279189942918499,0.0,0.8669792470556348,0.8517838523773773
222,2507250843,10.089608535474529,4.131458214154981,14.576659451659452,5.403659459424849,0.4162131246237207,1.2115200251824156,222.0,0.0,0.0,Comm Aware,8,Unlimited,None,Brownian,1661,0.14053987399521267,0.06919280139570455,0.4361016942272601,0.0,0.8738788002260706,0.8557604375368144
223,2507250845,9.67165564689473,1.448709700063061,14.45675505050505,5.976835899700765,0.39724665391969405,1.100748674240598,223.0,0.0,0.0,Comm Aware,8,Unlimited,None,Brownian,1569,0.13323460912978724,0.06814098056122109,0.4091913581461578,0.0,0.8735399932515585,0.8516319331755804
224,2507250854,10.445800055362094,2.7958049788104162,15.463888888888889,7.734021475495235,0.2907356948228883,0.9817361727096231,224.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1101,0.14676563165043294,0.07697572177277445,0.2580696365384014,0.0,0.8506276948548448,0.8180527242941993
225,2507250856,7.407059785956408,2.5532395324915043,14.136111111111111,5.749475092979982,0.28168273444347064,0.9065956995332406,225.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1141,0.09365246236316215,0.06532823997239896,0.2452249586781545,0.0,0.8684452602908254,0.8251978863852968
226,2507250858,7.572994737966605,3.310559266504343,15.4375,8.22912395340867,0.26985585585585586,0.8440806337454647,226.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1110,0.09655278631829782,0.07674423416377119,0.2284445421974258,0.0,0.8603341405582826,0.8196943553671747
227,2507250900,7.857572550215849,2.240298391921641,15.569444444444445,6.0869413812840945,0.26659613615455385,0.8723047970906813,227.0,0.008333333333333333,0.05270462766947299,Comm Aware,8,Limited,None,Brownian,1087,0.10152683088195229,0.07790167220878758,0.22381953029821125,0.16371681415929204,0.8334918870810455,0.7359912235163852
228,2507250902,9.397376154937678,3.423992044303282,17.726388888888888,7.767487381983758,0.27430097951914517,0.8899843407607775,228.0,0.007751937984496124,0.05083285677753489,Comm Aware,8,Limited,None,Brownian,1123,0.1284405656128036,0.09682273835521343,0.23475144945328022,0.15229471084585305,0.8201094277376425,0.737013438872527
229,2507250904,8.907765734547695,4.006796505780836,16.602777777777778,7.2327633696395255,0.26557466063348417,0.8624675272665167,229.0,0.007575757575757575,0.05025189076296061,Comm Aware,8,Limited,None,Brownian,1105,0.11988282166712873,0.0869662396350212,0.2223702227280491,0.14883346741753822,0.8264581769258813,0.7390299516415182
230,2507250906,10.537451843510752,4.441035719075163,15.019444444444446,6.541841318060827,0.271471119133574,0.8469174148441073,230.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1108,0.1483675839424506,0.0730769830948245,0.2307363379849062,0.0,0.8494432462654657,0.8129305825413901
231,2507250908,9.196013286401342,2.1487459529367117,17.0,6.937053845068721,0.2840051457975986,0.879552752113438,231.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1166,0.12492100843563407,0.090450737328439,0.24852008253295174,0.0,0.8483963874801672,0.8173982546419795
232,2507250910,8.756548844218178,3.281784938363734,15.268055555555556,4.6995644569104575,0.2745822102425876,0.8746702517038143,232.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1113,0.11723975000482535,0.07525784004280275,0.23515047009355997,0.0,0.8565761894867483,0.8181554555115678
233,2507250912,9.91932625480601,3.597411364648149,14.104166666666666,5.373535442980393,0.27666366095581607,0.8703623128022685,233.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1109,0.13756356447286627,0.0650480181299213,0.23810371000325684,0.0,0.8568954708171485,0.8172290046102332
234,2507250914,6.918049175524462,3.072877352658382,12.6125,5.405404041988245,0.26090277777777776,0.8876665003039645,234.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1008,0.08510520230390632,0.05196287644205176,0.21574158107191285,0.0,0.8743164193101889,0.8225881044024889
235,2507250916,10.87643652856029,4.08708001074697,14.755555555555555,5.990798352723803,0.28255978742249777,0.9289313152692714,235.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1129,0.15429258883480673,0.07076210700479171,0.24646935415872964,0.0,0.8506927347047754,0.8155356664558062
236,2507250918,8.913233500220098,4.502575278498838,13.640972222222222,6.088459417060464,0.27433572710951526,0.8385950463639881,236.0,0.007575757575757575,0.050251890762960605,Comm Aware,8,Limited,None,Brownian,1114,0.11997839099455869,0.06098480141399533,0.23480075063057673,0.14883346741753822,0.8406680564947897,0.7453989375560631
237,2507250920,9.76425509342987,4.687680034741414,13.906944444444445,7.655800759774814,0.2768115942028986,0.880924973785703,237.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1104,0.1348531252396522,0.06331795284158101,0.23831360321210324,0.0,0.8584591025905068,0.8179370589302356
238,2507250922,8.72124389823254,4.57421482324907,14.458333333333332,5.689148524581183,0.2697230181470869,0.9065955583289078,238.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1047,0.11662266614553919,0.06815482551391266,0.22825606710139976,0.0,0.8595925274167989,0.8179345896713622
239,2507250924,6.575201595707934,3.1986332337054195,15.417361111111111,6.333561286276418,0.2585328185328185,0.8816968543004201,239.0,0.0,0.0,Comm Aware,8,Limited,None,Brownian,1036,0.07911267910938935,0.07656757256742658,0.21237899449607564,0.0,0.8631759433885469,0.8191237611476928
240,2507250927,13.921823974050655,3.8448036681306137,25.648809523809522,12.194017741297946,0.4186189889025894,1.603114547766448,240.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1622,0.20752194198689228,0.16631949579800978,0.4395152242044599,0.0,0.8089112890247181,0.8318268291731566
241,2507250929,10.538376258635191,2.8994244842754155,22.78125,10.977346615037405,0.44614420062695925,1.770754219582517,241.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1595,0.14838374149875455,0.1411647990377099,0.4785690212848537,0.0,0.8401785672349419,0.8522815231765011
242,2507250931,12.582797440398217,2.8816113716265552,23.811309523809523,10.037154152241886,0.43541205412054124,1.7446690978165882,242.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1626,0.18411752546664162,0.15020064807636044,0.4633418515142531,0.0,0.8252044797465847,0.8425206442714004
243,2507250933,14.385677445057766,7.78947372148286,25.178571428571427,12.476243184185282,0.432189384800965,1.7022448085902528,243.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1658,0.21562948845216062,0.16219449103607167,0.4587694080786042,0.0,0.8108723231767845,0.8350802846924861
244,2507250935,11.030817498471167,4.292551643144722,22.27202380952381,14.346775498388695,0.43532138442521634,1.6611852998448406,244.0,0.0044444444444444444,0.02981423969999719,Stochastic,8,Limited,None,Brownian,1618,0.15699096443214366,0.13669778438728197,0.4632132059685614,0.08731563421828908,0.8256273421624358,0.804931511761654
245,2507250937,11.009348026847064,6.605864271339252,23.07857142857143,15.386394858588938,0.43862047823421213,1.6671898026569898,245.0,0.01266464032421479,0.06657992431168261,Stochastic,8,Limited,None,Brownian,1631,0.1566157064042168,0.14377295078275815,0.4678940833204196,0.24880974796244987,0.7984275441452412,0.7241156441048128
246,2507250939,13.117957862397573,6.044555594555965,26.960714285714285,19.291678216176564,0.4559772423025435,1.9695517020505944,246.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1494,0.19347142332216916,0.17782773693131565,0.49252050758500543,0.0,0.8119703264623005,0.8428092274789784
247,2507250941,15.674595466304451,5.74627821334308,30.110714285714288,10.285195171455598,0.44881869867340496,1.9451458092702059,247.0,0.003401360544217687,0.022043335708870272,Stochastic,8,Limited,None,Brownian,1583,0.23815807431029923,0.20546004731128598,0.4823636988714869,0.06682318945277226,0.775943349236015,0.7965184268046736
248,2507250943,14.0976299426423,3.770339946165371,29.297023809523807,11.899436342825988,0.43592436974789917,1.6673839225047657,248.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1666,0.21059479828380334,0.19832222261562849,0.4640687440356369,0.0,0.7945970635247986,0.8314761956722125
249,2507250945,13.412836792277925,4.730371235856971,23.860714285714288,10.28599670499148,0.4475849731663685,1.6927986456922728,249.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1677,0.19862551782628668,0.1506340346526147,0.4806132431043457,0.0,0.8230879275275556,0.843733715749034
250,2507250947,12.983245170667091,4.87157131527325,28.985119047619047,19.743046561059103,0.44833431777909033,1.7159699926936778,250.0,0.0029154518950437317,0.020408163265306117,Stochastic,8,Limited,None,Brownian,1693,0.19111682326863305,0.19558614350771003,0.4816764411913058,0.05727701953094765,0.794003813618475,0.8096913334563359
251,2507250949,13.705458817359963,4.447217778438445,26.30297619047619,11.764895358463434,0.4561153846153846,1.895606760350108,251.0,0.00303951367781155,0.020837855928270647,Stochastic,8,Limited,None,Brownian,1560,0.20374016461326133,0.17205795178961739,0.49271650905114983,0.05971433951098798,0.8033504829303428,0.8123164145943041
252,2507250951,15.651498270240449,7.733458942455515,26.823809523809523,13.051975785852504,0.44495495495495496,1.7051453210440382,252.0,0.0031746031746031746,0.021295885499997995,Stochastic,8,Limited,None,Brownian,1665,0.23775436580748321,0.17662678617783997,0.4768816751667465,0.06236831015592078,0.7905809364524956,0.8020350071575905
253,2507250953,12.269934499410285,4.758993785170263,27.236309523809524,14.78650308181089,0.4293808049535604,1.751358647810909,253.0,0.003401360544217687,0.022043335708870272,Stochastic,8,Limited,None,Brownian,1615,0.1786490941842091,0.1802453030133123,0.45478449023154144,0.06682318945277226,0.8006700455525299,0.803711143740294
254,2507250955,12.93861761288225,4.932332532254685,26.623809523809523,13.539338597817205,0.4352165725047081,1.7103209369775818,254.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1593,0.19033679245936375,0.1748723537727625,0.463064494906277,0.0,0.8112860744894055,0.8378315270464365
255,2507250957,11.269496424580634,8.164882580416526,24.357142857142858,17.392414820675725,0.438010437051533,1.6720878647867876,255.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1533,0.1611627570448224,0.15498878651521775,0.467028534135999,0.0,0.8289177708947855,0.8459829752931938
256,2507250959,10.247900196973154,3.9172870531746167,22.367261904761904,12.521440100088732,0.47190536277602524,1.8335476537613882,256.0,0.0,0.0,Stochastic,8,Limited,None,Brownian,1585,0.14330660332005363,0.1375332283896998,0.5151199190290481,0.0,0.8469187268780415,0.8608980090493465
257,2507251733,17.165913955037826,5.388975727146036,35.1,15.91403676775776,0.44222222222222224,1.741467177076609,257.0,0.0,0.0,Stochastic,8,Limited,None,Static,1656,0.2642243532058049,0.24922686998795096,0.4730043720350652,0.0,0.7566309139080798,0.8175831909279496
258,2507251735,13.602152344632533,4.593898759018625,26.86607142857143,14.25480134674104,0.4458618543870566,1.702142847942496,258.0,0.006349206349206349,0.04259177099999599,Stochastic,8,Limited,None,Static,1607,0.20193450381701433,0.17699751445391293,0.47816841790821163,0.12473662031184156,0.7901239655628349,0.7764255706850826
259,2507251737,12.056806318881375,3.9300873388228332,30.202380952380953,18.942154968636675,0.43875462392108505,1.766029693600881,259.0,0.0,0.0,Stochastic,8,Limited,None,Static,1622,0.1749238948816264,0.20626416216361315,0.4680844142245669,0.0,0.7999453866202435,0.8364386742881275
